# Sumerian transliteration-value frequency — CDLI (documentary, admin-heavy)
# Generated by bin/sign_seq.rb on 2026-07-29 · 1.3.0
# Command: nabu export --format=plain --lang=sux --source=cdli
# Passages: 1548658 · distinct values: 4340 · top 500 kept
# Values are corpus-convention spellings (ATF: sz=š); never merged across corpora.
rank	value	count
361	bur'u	2022
362	gukkal	2020
363	pa4	2015
364	bu3	2011
365	kir11	1994
366	esir2	1984
367	kaskal	1976
368	dur3	1972
369	ze2	1941
370	giri17	1932
371	kalam	1921
372	mah2	1907
373	su7	1894
374	uh2	1877
375	kun	1823
376	tag	1817
377	ta2	1809
378	sur	1773
379	esza	1769
380	dal	1767
381	gudu4	1753
382	ud	1739
383	pisan	1735
384	sal4	1734
385	eb	1713
386	gab2	1707
387	nu2	1702
388	ugu2	1699
389	szu2	1680
390	lah5	1677
391	urta	1665
392	nagar	1645
393	kas	1567
394	til	1537
395	di3	1536
396	du5	1533
397	gibil	1526
398	aszxdisz	1518
399	elam	1518
400	kar2	1501
401	iq	1499
402	sikil	1492
403	lagar	1486
404	din	1482
405	uz	1481
406	tir	1474
407	tum3	1469
408	nimgir	1467
409	rum	1458
410	illat	1439
411	kid	1434
412	nar	1433
413	qar	1419
414	didli	1418
415	dun	1407
416	gurum2	1407
417	luh	1403
418	ah	1394
419	sa12	1378
420	kab2	1376
421	gur11	1375
422	dagal	1366
423	uri	1348
424	gala	1346
425	gara2	1344
426	hul2	1343
427	szuszin	1336
428	tam	1336
429	il	1334
430	aszgab	1328
431	am6	1326
432	tak4	1319
433	nag	1311
434	si2	1306
435	kunga2	1299
436	unu3	1288
437	szum	1276
438	ses	1269
439	ia	1238
440	su2	1235
441	silim	1223
442	dara3	1215
443	szar3	1195
444	kwu147	1192
445	tesz2	1191
446	kusz2	1189
447	par4	1182
448	ka5	1164
449	g	1156
450	gaz	1153
451	mug	1147
452	ga6	1144
453	gir	1142
454	gi7	1141
455	gam	1131
456	sza13	1129
457	dur2	1128
458	azlag2	1125
459	gur4	1124
460	erim2	1121
461	sal	1121
462	sig	1120
463	kisal	1119
464	haszhur	1118
465	husz	1117
466	zah3	1116
467	hal	1114
468	musz3	1110
469	libir	1109
470	nin9	1108
471	uru11	1108
472	szid	1103
473	em	1097
474	dul5	1095
475	su4	1087
476	nim	1086
477	mun	1085
478	gin3	1060
479	lim	1060
480	esz5	1055
481	sumun	1047
482	dah	1040
483	gun3	1029
484	sud3	1027
485	mur	1015
486	pi4	1010
