# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
120	分	1039378	4851	4	fēn	⿱八刀
121	從	1037386	4828	11	cóng	⿰彳⿱从龰
122	平	1032814	4682	5	píng	⿻干丷
123	軍	1032259	3830	9	jūn	⿱冖車
124	七	1021901	4915	2	qī	〾⿻一乚
125	世	1021084	4843	5	shì	⿻廿𠃊
126	八	1020787	4908	2	bā	⿰丿㇏
127	城	1018586	4076	9	chéng	⿰土成
128	復	1017269	4757	12	fù	⿰彳复
129	前	1016287	4815	9	qián	⿱䒑⿰⺝刂
130	來	1014258	4835	8	lái	⿻木从
131	家	1008491	4650	10	jiā	⿱宀豕
132	本	972824	4836	5	běn	⿻木一
133	里	972180	4246	7	lǐ	⿻日土
134	學	959552	4597	16	xué	⿱𦥯子
135	門	958371	4783	8	mén	⿰𠁣𠃛
136	乎	957821	4374	5	hū	⿻𠂌丷
137	去	953289	4715	5	qù	⿱土厶
138	爲	950803	3174	12	wèi	⿱爫⿵⿰丿⿳𠃍𠃍𠃌灬
139	朝	949025	4587	12	cháo	⿰𠦝月
140	史	948630	3832	5	shǐ	⿻⿻口丿乀
141	必	947716	4611	5	bì	⿻心㇒
142	古	947064	4431	5	gǔ	⿱十口
143	小	945112	4669	3	xiǎo	⿲㇒亅丶
144	兵	940622	4092	7	bīng	⿱丘八
145	令	937891	4758	5	lìng	⿱⿵𠆢丶龴
146	多	937063	4669	6	duō	⿱夕夕
147	江	931044	4039	6	jiāng	⿰氵工
148	字	921692	4460	6	zì	⿱宀子
149	經	917569	4982	13	jīng	⿰糹巠
150	白	903458	4805	5	bái	⿱㇒日
151	外	895921	4795	5	wài	⿰夕卜
152	石	893140	4464	5	shí	⿸丆口
153	千	882246	4786	3	qiān	⿱㇒十
154	春	880996	4314	9	chūn	⿱𡗗日
155	義	880861	4268	13	yì	⿱𦍌我
156	金	878822	4878	8	jīn	⿱𠆢⿻王丷
157	即	878327	4573	7	jí	⿰{18}卩
158	欲	878297	4703	11	yù	⿰谷欠
159	歸	871757	4704	18	guī	⿰⿱𠂤止帚
160	主	868418	4684	5	zhǔ	⿱丶王
161	命	866682	4840	8	mìng	⿱{88}叩
162	數	866271	4671	15	shù	⿰婁攵
163	馬	864095	4371	10	mǎ	⿹{51}灬
164	武	859617	4184	8	wǔ	⿹{28}止
165	等	857129	4551	12	děng	⿱𥫗寺
166	師	853421	4641	10	shī	⿰𠂤帀
167	司	852655	4213	5	sī	⿹𠃌𠮛
168	神	849584	5015	9	shén	⿰礻申
169	周	843346	4587	8	zhōu	⿵⺆𠮷
170	宗	843152	4370	8	zōng	⿱宀示
171	内	838766	4765	4	nèi	⿻冂人
172	氣	830189	4726	10	qì	⿹气米
173	居	826618	4653	8	jū	⿸尸古
174	或	824288	4625	8	huò	⿹戈⿱口一
175	漢	823692	4076	14	hàn	⿰氵𦰩
176	我	819058	4536	7	wǒ	⿻⿱㇒扌{97}
177	治	813584	4242	8	zhì	⿰氵台
178	兩	810833	4576	8	liǎng	⿻丅⿵冂𠓜
179	法	809849	4907	8	fǎ	⿰氵去
180	志	807214	4500	7	zhì	⿱士心
181	河	807106	4309	8	hé	⿰氵可
182	物	791295	4770	8	wù	⿰牜勿
183	黄	781024	4464	11	huáng	⿳龷由八
184	重	777992	4750	9	zhòng	⿳㇒車一
185	通	776168	4911	10	tōng	⿺辶甬
186	立	769281	4779	5	lì	⿱亠䒑
187	聞	769218	4685	14	wén	⿵門耳
188	意	750246	4692	13	yì	⿱音心
189	初	748872	4540	7	chū	⿰衤刀
190	雲	747095	4516	12	yún	⿱雨云
191	樂	745169	4484	15	lè	⿱⿲幺白幺木
192	餘	735750	4492	15	yú	⿰飠余
193	服	733353	4335	8	fú	⿰月𠬝
194	侯	732063	3742	9	hóu	⿰亻⿱{14}矢
195	處	727884	4651	11	chù	⿸虍処
196	清	723388	4761	11	qīng	⿰氵青
197	進	719390	4377	11	jìn	⿺辶隹
198	定	714807	4753	8	dìng	⿱宀𤴓
199	間	711557	4741	12	jiān	⿵門日
200	聖	711498	4751	13	shèng	⿱𦔻王
201	秋	711219	4187	9	qiū	⿰禾火
202	府	708811	4203	8	fǔ	⿸广付
203	常	705543	4846	11	cháng	⿱龸吊
204	因	688625	4709	6	yīn	⿴囗大
205	守	688217	4480	6	shǒu	⿱宀寸
206	徳	684011	3398	14	dé	⿰彳⿳十罒心
207	雖	683533	4508	17	suī	⿰虽隹
208	和	683362	4760	8	hé	⿰禾口
209	髙	678577	3929	11	gāo	⿳亠{67}冋
210	過	676910	4731	11	guò	⿺辶咼
211	取	673086	4569	8	qǔ	⿰耳又
212	食	667289	4476	9	shí	⿱𠆢良
213	焉	666917	4376	11	yān	⿱正{1}
214	實	665097	4484	14	shí	⿱宀貫
215	應	664518	4774	17	yīng	⿸䧹心
216	張	660713	4292	11	zhāng	⿰弓長
217	李	659962	3820	7	lǐ	⿱木子
218	皇	658805	4321	9	huáng	⿱白王
219	都	658364	4445	10	dōu dū	⿰者阝
220	死	657620	4593	6	sǐ	⿸歹匕
221	始	656726	4794	8	shǐ	⿰女台
222	各	655500	4688	6	gè	⿱夂口
223	流	648663	4790	10	liú	⿰氵㐬
224	易	639210	4480	8	yì	⿱日勿
225	陳	639147	4255	10	chén	⿰阝東
226	合	636223	4886	6	hé	⿱{88}口
227	理	634007	4588	11	lǐ	⿰𤣩里
228	尚	632813	4159	8	shàng	⿱⺌冋
229	齊	629116	4300	14	qí	⿱{26}⿲丿二丨
230	少	623480	4498	4	shǎo	⿱𡭔㇒
231	右	622287	4468	5	yòu	⿸𠂇口
232	惟	620902	4389	11	wéi	⿰忄隹
233	海	619333	4446	10	hǎi	⿰氵每
234	善	618480	4600	12	shàn	⿳羊䒑口
235	吾	616280	4274	7	wú	⿱五口
236	左	614472	4478	5	zuǒ	⿸𠂇工
237	足	613093	4631	7	zú	⿱口龰
238	功	600410	4725	5	gōng	⿰工力
239	身	600219	4907	7	shēn	⿻𨈑㇒
240	光	598367	4804	6	guāng	⿱⺌兀
241	遂	596509	4387	12	suì	⿺辶㒸
242	聲	594025	4477	17	shēng	⿱殸耳
243	既	592913	3955	9	jì	⿰{18}旡
244	玉	588835	4727	5	yù	⿻王丶
245	興	578499	4233	16	xìng	⿳⿴𦥑同一八
246	記	578098	4160	10	jì	⿰訁己
247	盡	576678	4647	14	jǐn	⿱𭴘皿
248	節	576577	4537	13	jié	⿱𥫗即
249	章	574021	4391	11	zhāng	⿱立早
250	父	572915	4332	4	fù	⿱八乂
251	觀	571706	4619	24	guān	⿰雚見
252	宋	567956	3733	7	sòng	⿱宀木
253	祖	563503	4297	9	zǔ	⿰礻且
254	問	560255	4313	11	wèn	⿵門口
255	度	558255	4774	9	dù	⿸广⿱廿又
256	開	558183	4734	12	kāi	⿵門开
257	部	556738	4119	10	bù	⿰咅阝
258	唐	556676	3785	10	táng	⿸广⿱肀口
259	龍	554550	4626	16	lóng	⿰𦚏{12}
260	舉	554243	4494	16	jǔ	⿱與𰀁
261	花	550987	3597	7	huā	⿱艹化
262	思	549918	4585	9	sī	⿱田心
263	反	549639	4102	4	fǎn	⿸𠂆又
264	老	548872	4657	6	lǎo	⿱耂匕
265	論	542065	4246	15	lùn	⿰訁侖
266	林	539914	4237	8	lín	⿰木木
267	新	539372	4207	13	xīn	⿰亲斤
268	起	536657	4681	10	qǐ	⿺走己
269	位	536442	4356	7	wèi	⿰亻立
270	猶	536440	4294	12	yóu	⿰犭酋
271	稱	535710	4414	14	chēng	⿰禾爯
272	切	533815	4275	4	qiè	⿰七刀
273	注	533526	4040	8	zhù	⿰氵主
274	政	532363	3742	9	zhèng	⿰正攵
275	孫	527318	4216	10	sūn	⿰子系
276	制	523903	4252	8	zhì	⿰⿻牛冂刂
277	音	523141	4187	9	yīn	⿱立日
278	宜	522893	4327	8	yí	⿱宀且
279	爾	520293	4263	14	ěr	⿻丅⿱八⿵冂㸚
280	逺	512757	3791	11	yuǎn	⿺辶𡊮
281	發	512006	4608	12	fā	⿱癶𭚧
282	晉	510411	3304	10	jìn	⿳一厸𣄼
283	首	508994	4659	9	shǒu	⿱丷𦣻
284	深	507958	4545	11	shēn	⿰氵罙
285	郡	507909	3248	9	jùn	⿰君阝
286	舊	503184	3993	17	jiù	⿱萑臼
287	次	496710	4514	6	cì	⿰冫欠
288	任	495544	4176	6	rèn	⿰亻壬
289	難	495337	4694	19	nán	⿰𦰩隹
290	酒	491974	3977	10	jiǔ	⿰氵酉
291	田	491931	4211	5	tián	⿴囗十
292	請	491080	4053	15	qǐng	⿰訁青
293	建	489165	4123	8	jiàn	⿺廴聿
294	親	486911	4250	16	qīn	⿰亲見
295	隂	486637	4029	11	yīn	⿰阝⿱𠆢镸
296	宫	486011	4450	9	gōng	⿱宀吕
297	異	485885	4492	11	yì	⿱田共
298	奏	485455	3648	9	zòu	⿱𡗗天
299	語	481408	4352	14	yǔ	⿰訁吾
300	利	480592	4332	7	lì	⿰禾刂
301	甚	480540	4286	9	shèn	⿱{94}⿺𠃊八
302	且	480148	4294	5	qiě	⿴𠀃𠄠
303	求	479385	4630	7	qiú	⿺⿻一氺丶
304	色	477237	4593	6	sè	⿱⺈巴
305	受	475463	4736	8	shòu	⿳爫冖又
306	御	474735	4088	12	yù	⿰彳卸
307	集	474729	4178	12	jí	⿱隹木
308	終	474527	4611	11	zhōng	⿰糹冬
309	廣	473040	4443	14	guǎng	⿸广黄
310	豈	472867	4302	10	qǐ	⿱山豆
311	直	472463	4512	8	zhí	⿱十{73}
312	雨	471329	4152	8	yǔ	⿻丅⿵冂⿰⿱丶丶⿱丶丶
313	女	470719	4591	3	nǚ	女
314	賢	470322	4206	15	xián	⿱臤貝
315	衆	469468	4494	12	zhòng	⿱血乑
316	凡	467940	4673	3	fán	⿵几丶
317	仁	466272	4075	4	rén	⿰亻二
318	㑹	465067	3811	12	huì	⿳{88}由日
319	夜	463219	4515	8	yè	⿱亠⿰亻⿴夂丶
320	木	462151	4474	4	mù	⿻十𠆢
321	屬	461295	4347	21	shǔ	⿸尸⿱氺蜀
322	草	460539	4127	9	cǎo	⿱艹早
323	路	460431	4158	13	lù	⿰𧾷各
324	止	459635	4444	4	zhǐ	⿽上丨
325	莫	458132	4603	10	mò	⿱艹旲
326	望	457546	4263	11	wàng	⿱⿰亡月王
327	青	456894	4281	8	qīng	⿱龶⺝
328	力	453094	4437	2	lì	⿻𠃌丿
329	夏	452357	4141	10	xià	⿱𦣻夊
330	加	450150	4208	5	jiā	⿰力口
331	失	449463	4518	5	shī	⿰㇒夫
332	化	448419	4778	4	huà	⿰亻𠤎
333	奉	447083	4359	8	fèng	⿱𡗗𰀁
334	華	445954	4591	10	huá	⿱艹{62}
335	耳	445545	4458	6	ěr	耳
336	劉	444714	3649	15	liú	⿰⿱⿰{58}刀金刂
337	郎	438958	3352	8	láng	⿰{17}阝
338	置	438590	3935	13	zhì	⿱罒直
