# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
534	久	275712	3984	3	jiǔ	久
535	具	275498	4252	8	jù	⿱{73}八
536	末	274543	4149	5	mò	⿻一木
537	工	274389	3745	3	gōng	⿱丅一
538	題	274135	3464	18	tí	⿺是頁
539	葉	273601	3741	12	yè	⿱艹枼
540	尺	273220	3947	4	chǐ	⿸尸㇏
541	兼	272180	3951	10	jiān	⿱丷⿻⿳一{43}八⿰丨丨
542	類	270873	4106	19	lèi	⿰⿱米犬頁
543	姓	270481	3888	8	xìng	⿰女生
544	泉	270253	3914	9	quán	⿱白水
545	特	270227	3867	10	tè	⿰牜寺
546	面	269737	4185	9	miàn	⿱丆囬
547	疑	269346	4115	14	yí	⿰𠤕⿱龴疋
548	列	268890	4313	6	liè	⿰歹刂
549	運	268659	4319	12	yùn	⿺辶軍
550	福	268424	4196	13	fú	⿰礻畐
551	吳	267115	3026	7	wú	⿺⿱𠃑大口
552	養	267028	4335	14	yǎng	⿱𦍌食
553	句	266892	3685	5	jù	⿹勹口
554	某	266848	3182	9	mǒu	⿱甘木
555	待	266816	4076	9	dài	⿰彳寺
556	斯	266301	4158	12	sī	⿰其斤
557	寺	265021	2937	6	sì	⿱土寸
558	業	264558	4021	13	yè	⿱业𦍎
559	疾	263808	4101	10	jí	⿸疒矢
560	予	263195	3417	4	yǔ	⿱龴𠄐
561	羣	262913	3792	13	qún	⿱君羊
562	連	262011	4041	10	lián	⿺辶車
563	轉	260406	4463	18	zhuǎn	⿰車專
564	竹	260158	3555	6	zhú	⿰⿱𠂉丨⿱𠂉亅
565	孟	259976	3504	8	mèng	⿱子皿
566	美	259954	3900	9	měi	⿱𦍌大
567	遇	258178	4325	12	yù	⿺辶禺
568	保	258108	4215	9	bǎo	⿰亻呆
569	愛	258108	4072	13	ài	⿳爫冖𢖻
570	彼	256665	3926	8	bǐ	⿰彳皮
571	謝	256262	3731	17	xiè	⿰訁射
572	克	256208	3436	7	kè	⿱十兄
573	就	254987	4233	12	jiù	⿰京尤
574	總	254709	4072	17	zǒng	⿰糹悤
575	魚	254234	3924	11	yú	⿳⺈田灬
576	微	253696	4430	13	wēi	⿰彳𢼸
577	伐	253245	3477	6	fá	⿰亻戈
578	胡	252904	3647	9	hú	⿰古月
579	監	252786	3402	14	jiān	⿱⿰臣⿱𠂉丶皿
580	冬	252674	3945	5	dōng	⿱夂⺀
581	樹	252065	3599	16	shù	⿰木尌
582	杜	251651	3459	7	dù	⿰木土
583	昌	251329	3785	8	chāng	⿱日日
584	俗	250541	4049	9	sú	⿰亻谷
585	蓋	250361	3947	13	gài	⿱艹盍
586	讀	250146	3802	22	dú	⿰訁賣
587	報	250080	3869	12	bào	⿰幸𠬝
588	典	249772	3772	8	diǎn	⿱⿻𠀇⿰丨丨八
589	虚	248416	4182	11	xū	⿸虍业
590	邑	247105	3290	7	yì	⿱口巴
591	徐	246740	3681	10	xú	⿰彳余
592	率	246737	3609	11	lǜ	⿳亠⿴{11}幺十
593	湯	246421	3576	12	tāng	⿰氵昜
594	疏	246233	2975	12	shū	⿰𤴔㐬
595	祀	246213	3216	7	sì	⿰礻巳
596	韓	246145	3309	17	hán	⿰𠦝韋
597	婦	246072	3707	11	fù	⿰女帚
598	退	246068	4115	9	tuì	⿺辶艮
599	喜	245355	4138	12	xǐ	⿱壴口
600	察	244869	3815	14	chá	⿱宀祭
601	野	243829	3910	11	yě	⿰里予
602	夷	242272	3847	6	yí	⿻大弓
603	昔	241988	4081	8	xī	⿱龷日
604	領	241081	3588	14	lǐng	⿰令頁
605	刺	240314	3149	8	cì	⿰朿刂
606	慶	240176	3807	15	qìng	⿸{55}⿱乛𢖻
607	刑	240150	3503	6	xíng	⿰开刂
608	依	239482	4482	8	yī	⿰亻衣
609	積	239162	4252	16	jī	⿰禾責
610	管	239050	3681	14	guǎn	⿱𥫗官
611	他	238892	4207	5	tā	⿰亻也
612	巳	238410	3802	3	sì	巳
613	召	238312	3764	5	zhào	⿱刀口
614	澤	237505	4029	16	zé	⿰氵睪
615	素	236793	4244	10	sù	⿱龶糸
616	廷	236516	3083	6	tíng	⿺廴𡈼
617	須	235758	4365	12	xū	⿰彡頁
618	期	235750	4033	12	qī	⿰其月
619	傷	235572	4078	13	shāng	⿰亻𬀷
620	識	235500	4279	19	shí shì	⿰訁戠
621	厚	235373	3892	9	hòu	⿸厂㫗
622	叔	235054	3369	8	shū	⿰尗又
623	窮	234783	4351	15	qióng	⿱穴躬
624	恐	234393	4100	10	kǒng	⿱巩心
625	申	234379	3867	5	shēn	⿻日丨
626	撫	232795	3188	15	fǔ	⿰扌無
627	到	232435	3851	8	dào	⿰至刂
628	補	232119	3743	12	bǔ	⿰衤甫
629	感	231688	4292	13	gǎn	⿱咸心
630	誰	231356	3649	15	shuí shéi	⿰訁隹
631	雪	231119	3532	11	xuě	⿱雨𫜹
632	藥	230023	3846	18	yào	⿱艹樂
633	器	229877	3840	16	qì	⿳吅犬吅
634	藏	229794	4437	17	cáng	⿱艹臧
635	顧	228789	3851	21	gù	⿰雇頁
636	照	228708	4127	13	zhào	⿱昭灬
637	延	228013	4102	6	yán	⿺廴⿱㇒{117}
638	燕	227933	3447	16	yàn	⿳廿⿴北口灬
639	廢	227751	3704	15	fèi	⿸广發
640	蘇	227655	3439	19	sū	⿱艹穌
641	幾	226664	3760	12	jǐ	⿻{29}人
642	息	226201	4349	10	xī	⿱自心
643	崇	225839	3717	11	chóng	⿱山宗
644	户	225818	3581	4	hù	⿱丶尸
645	赤	225799	4256	7	chì	⿱土⿻⿰丿亅八
646	陸	225483	3937	10	lù	⿰阝坴
647	釋	225145	3822	20	shì	⿰釆睪
648	庭	225033	4162	9	tíng	⿸广廷
649	曹	224720	3528	11	cáo	⿱{98}日
650	溪	224039	3016	13	xī	⿰氵奚
651	幸	223889	3698	8	xìng	⿱土𢆉
652	鎮	223877	3228	18	zhèn	⿰釒真
653	威	223844	3988	9	wēi	⿵戌女
654	苦	223664	4281	8	kǔ	⿱艹古
655	憂	223447	3849	15	yōu	⿱{36}𢖻
656	營	223414	3702	16	yíng	⿱𤇾吕
657	将	223320	2235	9	jiāng	⿰丬𪧷
658	亭	222607	3099	9	tíng	⿱{87}丁
659	遊	222513	3963	12	yóu	⿺辶斿
660	射	222503	3550	10	shè	⿰身寸
661	汝	222443	3561	6	rǔ	⿰氵女
662	呼	222086	4052	8	hū	⿰口乎
663	私	221744	3683	7	sī	⿰禾厶
664	闕	221233	4171	18	què	⿵門欮
665	牛	220677	3851	4	niú	⿰㇒𰀁
666	越	220545	3875	12	yuè	⿺走戉
667	余	220484	3254	7	yú	⿱𠆢⿱一朩
668	勞	220369	3939	12	láo	⿱𤇾力
669	羅	220175	4018	19	luó	⿱罒維
670	兄	219832	3481	5	xiōng	⿱口儿
671	謀	219661	3529	16	móu	⿰訁某
672	願	218604	4083	19	yuàn	⿰原頁
673	參	218089	3939	11	cān	⿱厽㐱
674	嚴	218020	3903	19	yán	⿱吅𠪚
675	端	217736	4223	14	duān	⿰立耑
676	推	217308	4099	11	tuī	⿰扌隹
677	急	216745	3962	9	jí	⿱刍心
678	録	215972	3944	16	lù	⿰釒录
679	庶	215773	3704	11	shù	⿸广⿱廿灬
680	免	215472	3910	7	miǎn	⿱⺈⿸⿻口丿乚
681	冠	215220	3926	9	guān	⿱冖㝴
682	商	215197	3593	11	shāng	⿳亠丷冏
683	丞	214693	2834	6	chéng	⿱氶一
684	員	214337	2474	10	yuán	⿱口貝
685	篇	214337	3997	15	piān	⿱𥫗扁
686	結	214189	4351	12	jié	⿰糹吉
687	雅	213973	3347	12	yǎ	⿰牙隹
688	給	213840	3088	12	gěi	⿰糹合
689	邊	213676	3581	18	biān	⿺辶臱
690	敗	213253	3622	11	bài	⿰貝攵
691	己	213112	3737	3	jǐ	己
692	寸	212937	3705	3	cùn	⿹𬺰丶
693	銀	212855	3255	14	yín	⿰釒艮
694	勢	212618	3657	13	shì	⿱埶力
695	調	212319	3797	15	diào	⿰訁周
696	幽	212219	4192	9	yōu	⿻山𢆶
697	院	211968	2744	9	yuàn	⿰阝完
698	淮	211876	3148	11	huái	⿰氵隹
699	辰	211636	4120	7	chén	⿸厂⿱二{25}
700	貞	211119	3447	9	zhēn	⿱⺊貝
701	持	210857	4300	9	chí	⿰扌寺
702	熱	210365	2936	15	rè	⿱埶灬
703	施	210128	4245	9	shī	⿰方㐌
704	騎	209671	3086	18	qí	⿰馬奇
705	破	209356	3995	10	pò	⿰石皮
706	害	208680	3916	10	hài	⿱𫲸口
707	松	208540	3225	8	sōng	⿰木公
708	樓	207935	3178	15	lóu	⿰木婁
709	博	207151	3628	12	bó	⿰十尃
710	附	207115	3775	7	fù	⿰阝付
711	紅	206604	3144	9	hóng	⿰糹工
712	甘	206115	3853	5	gān	⿴廿一
713	寳	206077	3979	19	bǎo	⿳宀珎貝
714	差	206048	3971	9	chà chā	⿸⺶工
715	陛	205863	2410	9	bì	⿰阝坒
716	池	205830	3701	6	chí	⿰氵也
717	簡	205617	4011	18	jiǎn	⿱𥫗間
718	儒	204120	3510	16	rú	⿰亻需
719	達	203423	3909	12	dá	⿺辶𦍒
720	權	202940	3632	21	quán	⿰木雚
721	繼	202877	3576	20	jì	⿰糹㡭
722	宿	202810	4163	11	sù	⿱宀佰
723	收	202797	3969	6	shōu	⿰丩攵
724	虎	202763	4187	8	hǔ	⿸虍几
725	孤	202608	3677	8	gū	⿰子瓜
726	造	202330	4316	10	zào	⿺辶告
727	謹	202095	4238	18	jǐn	⿰訁堇
728	舟	201333	3481	6	zhōu	⿻𠔾⿱丶丶
729	夢	201252	3535	13	mèng	⿳⿱艹罒冖夕
730	鳥	200971	3672	11	niǎo	⿹{47}灬
731	无	200860	1824	4	wú	⿱一尢
732	仍	200708	3746	4	réng	⿰亻乃
733	移	200373	3995	11	yí	⿰禾多
734	詳	199578	3758	13	xiáng	⿰訁羊
735	閣	199533	3127	14	gé	⿵門各
736	邪	198970	4058	6	xié	⿰牙阝
737	統	198846	3476	12	tǒng	⿰糹充
738	盖	198173	2977	11	gài	⿱𦍌皿
739	據	197877	3583	16	jù	⿰扌豦
740	聽	197715	3985	22	tīng	⿰⿹耳𤣩𢛳
741	納	197018	3754	10	nà	⿰糹内
742	浮	197004	4075	10	fú	⿰氵孚
743	紫	196235	3921	12	zǐ	⿱此糸
744	務	196024	3621	10	wù	⿰矛务
745	虞	195580	3502	13	yú	⿸虍吴
746	卦	195214	2709	8	guà	⿰圭卜
747	休	194939	3968	6	xiū	⿰亻木
748	果	194932	4093	8	guǒ	⿻日木
749	適	194702	3869	14	shì	⿺辶啇
750	角	194169	3785	7	jiǎo	⿱⺈用
751	筆	193613	3507	12	bǐ	⿱𥫗聿
752	沙	193424	3561	7	shā	⿰氵少
753	咸	193244	3855	9	xián	⿵戊𠮛
754	斷	193121	4116	18	duàn	⿰㡭斤
755	念	192879	4116	8	niàn	⿱今心
756	被	192019	3989	10	bèi	⿰衤皮
757	細	191911	3927	11	xì	⿰糹田
758	忽	190628	4007	8	hū	⿱勿心
759	督	190370	2584	13	dū	⿱叔目
760	并	189596	3846	6	bìng	⿱丷开
761	懐	189242	3002	16	huái	⿰忄⿱亠𭾱
762	温	189027	3693	12	wēn	⿰氵昷
763	友	188823	3674	4	yǒu	⿸𠂇又
764	攻	188796	3172	7	gōng	⿰工攵
765	禁	188558	3899	13	jìn	⿱林示
766	季	187069	3578	8	jì	⿱禾子
767	寄	186809	3464	11	jì	⿱宀奇
768	爵	186795	3062	17	jué	⿳爫罒𡬠
769	来	186626	2277	7	lái	⿻未丷
770	兒	186398	3653	8	ér	⿱臼儿
771	詞	185304	3497	12	cí	⿰訁司
772	谷	185052	3819	7	gǔ	⿳八𠆢口
773	選	185031	3180	15	xuǎn	⿺辶巽
774	律	184721	3668	9	lǜ	⿰彳聿
775	贈	184703	2737	19	zèng	⿰貝曾
776	恭	184441	4078	10	gōng	⿱共⺗
777	揚	184138	3923	12	yáng	⿰扌昜
778	血	184080	3738	6	xuè	⿱㇒皿
779	獲	183858	3821	16	huò	⿰犭蒦
780	舍	183193	3770	8	shě shè	⿱𠆢⿱干口
781	竒	182140	3469	9	qí	⿳亠丷可
782	尤	182124	3887	4	yóu	⿺尢丶
783	尋	181889	3910	12	xún	⿳𫜹⿰工口寸
784	只	181810	3461	5	zhǐ	⿱口八
785	征	181661	3236	8	zhēng	⿰彳正
786	皮	181068	3067	5	pí	⿻{84}⿱丨又
787	尉	180779	2721	11	wèi	⿰𫵖寸
788	源	180566	4064	13	yuán	⿰氵原
789	符	180299	4159	11	fú	⿱𥫗付
790	掌	180256	3662	12	zhǎng	⿱𫩠手
791	鳴	180121	3813	14	míng	⿰口鳥
792	乗	180024	3510	9	chéng	⿻禾龷
793	垂	180000	4079	8	chuí	⿱⿻千龷一
794	貢	179779	3098	10	gòng	⿱工貝
795	種	179756	3970	14	zhǒng	⿰禾重
796	校	179599	3980	10	xiào	⿰木交
797	露	179416	4030	21	lù	⿱雨路
798	剛	178819	3652	10	gāng	⿰岡刂
799	案	178758	3757	10	àn	⿱安木
800	罷	178378	3276	15	bà	⿱罒能
801	欽	178373	3803	12	qīn	⿰釒欠
802	烏	178302	3518	10	wū	⿹{54}灬
803	試	178260	3658	13	shì	⿰訁式
804	刻	178095	3849	8	kè	⿰亥刂
805	宰	177824	3544	10	zǎi	⿱宀辛
806	洞	177729	4017	9	dòng	⿰氵同
807	歴	177688	3077	14	lì	⿸𠩵止
808	品	177618	3652	9	pǐn	⿱口吅
809	笑	177029	3610	10	xiào	⿱𥫗夭
810	眞	176940	2843	10	zhēn	⿳匕⿺𠃊目八
811	丈	176698	3780	3	zhàng	⿻𠂇乀
812	碑	176298	2427	13	bēi	⿰石卑
813	忘	175911	3976	7	wàng	⿱亡心
814	郭	175507	3388	10	guō	⿰享阝
815	界	175156	3641	9	jiè	⿱田介
816	患	174212	3742	11	huàn	⿱串心
817	哀	174202	3653	9	āi	⿳亠口𧘇
818	泰	173611	3762	10	tài	⿱𡗗氺
819	榮	173404	3903	14	róng	⿱𤇾木
820	帶	173283	3745	11	dài	⿳⿻廿儿冖巾
821	富	173271	3722	12	fù	⿱宀畐
822	厯	173044	2823	13	lì	⿸𠩵⿻乚⿰丶丶
823	追	172803	3612	9	zhuī	⿺辶𠂤
824	葢	172453	2838	12	gài	⿱艹盇
825	擊	172280	3469	17	jī	⿱𣪠手
826	英	172243	3681	8	yīng	⿱艹央
827	根	172096	4296	10	gēn	⿰木艮
828	賞	172092	3364	15	shǎng	⿱𫩠貝
829	辛	172080	3711	7	xīn	⿱立十
830	豐	171886	3584	18	fēng	⿱𠁳豆
831	雜	171773	3934	18	zá	⿰𰗣隹
832	約	171678	3849	9	yuē	⿰糹勺
833	示	171563	3947	5	shì	⿱二小
834	喪	170579	3209	12	sàng	⿱⿻土吅{25}
835	副	170497	2807	11	fù	⿰畐刂
836	𤣥	170311	2436	4		⿱亠{27}
837	逆	170011	3802	9	nì	⿺辶屰
838	洪	169995	3549	9	hóng	⿰氵共
839	郊	169878	3159	8	jiāo	⿰交阝
840	莊	169486	3300	10	zhuāng	⿱艹壯
841	戒	169275	3905	7	jiè	⿹戈廾
842	隆	169226	3901	11	lóng	⿰阝㚅
843	折	169148	3783	7	zhé	⿰扌斤
844	薄	168902	3929	16	báo bó	⿱艹溥
845	悉	168827	3890	11	xī	⿱釆心
846	塵	168244	3713	14	chén	⿸鹿土
847	蕭	167963	3219	16	xiāo	⿱艹肅
848	旗	167397	2702	14	qí	⿰方⿱𠂉其
849	痛	166846	3217	12	tòng	⿸疒甬
850	驚	166705	3779	22	jīng	⿱敬馬
851	顯	165700	3958	23	xiǎn	⿰㬎頁
852	庫	165629	3635	10	kù	⿸广車
853	最	165498	3951	12	zuì	⿱日⿸耳又
854	諭	165497	2567	16	yù	⿰訁俞
855	看	165352	3088	9	kàn	⿸龵目
856	㫖	165344	3432	7		⿱上日
857	役	165343	3663	7	yì	⿰彳殳
858	羊	164949	3477	6	yáng	⿱䒑𰀁
859	朔	163598	3358	10	shuò	⿰屰月
860	蜀	163591	3072	13	shǔ	⿱罒𠣜
861	例	163546	3072	8	lì	⿰亻列
862	惠	163470	3503	12	huì	⿱{7}心
863	夕	163276	3717	3	xī	⿴𠂊丶
864	朕	162873	2200	10	zhèn	⿰月关
865	資	162690	3787	13	zī	⿱次貝
866	程	162631	3328	12	chéng	⿰禾呈
867	横	162474	3771	15	héng	⿰木黄
868	乞	161900	3204	3	qǐ	⿱𠂉乙
869	回	161894	3596	6	huí	⿴囗口
870	橋	161445	2947	16	qiáo	⿰木喬
871	味	161399	3777	8	wèi	⿰口未
872	僧	161387	2655	14	sēng	⿰亻曾
873	游	161287	3409	12	yóu	⿰氵斿
874	歲	161156	2949	13	suì	⿱止⿵戌𣥂
875	接	161140	3989	11	jiē	⿰扌妾
876	齋	160818	3749	17	zhāi	⿵齊𡭔
877	輔	160800	3624	14	fǔ	⿰車甫
878	羽	160738	3819	6	yǔ	⿰习习
879	枝	160728	3579	8	zhī	⿰木支
880	丘	160669	3418	5	qiū	⿱㇒⿺丄丅
881	乙	160509	3463	1	yǐ	乙
882	累	160452	3850	11	lèi	⿱田糸
883	毛	159782	3659	4	máo	⿱㇒⿻二乚
884	愈	159579	3644	13	yù	⿱俞心
885	米	159278	3042	6	mǐ	⿻丷木
886	帥	159221	2921	9	shuài	⿰𠂤巾
887	關	159208	3791	19	guān	⿵門𢇇
888	井	159052	3698	4	jǐng	⿻二⿰丿丨
889	顔	158983	3676	18	yán	⿰彦頁
890	蔡	158544	3023	14	cài	⿱艹祭
891	闗	158013	2613	18	guān	⿵門𢇁
892	舞	157589	3371	14	wǔ	⿱{56}舛
893	弗	157143	3182	5	fú	⿻弓⿰丿丨
894	干	157138	3987	3	gàn	⿱一十
895	陰	156965	2697	10	yīn	⿰阝侌
896	防	156733	3413	6	fáng	⿰阝方
897	鼓	156701	3711	13	gǔ	⿰壴支
898	覺	156386	3995	20	jué	⿱𦥯見
899	甫	156188	3136	7	fǔ	⿺⿻十⺝丶
900	負	156019	3909	9	fù	⿱⺈貝
901	質	155711	3903	15	zhì	⿱斦貝
902	滅	155607	4100	13	miè	⿰氵烕
903	阿	155287	3195	7	ā	⿰阝可
904	犯	155114	3615	5	fàn	⿰犭㔾
905	沈	155045	3430	7	shěn chén	⿰氵冘
906	條	154696	3893	10	tiáo	⿲亻丨条
907	祠	153720	2883	9	cí	⿰礻司
908	曽	153544	3142	11	cēng	⿱𬎿日
909	機	153236	3996	16	jī	⿰木幾
910	骨	153065	3951	10	gǔ	⿳{108}冖⺝
911	塞	152549	3755	13	sāi	⿱𡨄土
912	斗	152469	3880	4	dòu dǒu	⿽十⺀
913	放	152452	3958	8	fàng	⿰方攵
914	市	152447	3462	5	shì	⿱亠巾
915	衰	152427	3800	10	shuāi	⿳亠⿻口一𧘇
916	敵	152378	3136	15	dí	⿰啇攵
917	仰	152349	4023	6	yǎng	⿰亻卬
918	農	152323	3268	13	nóng	⿱曲辰
919	習	151707	3732	11	xí	⿱羽白
920	走	151473	3731	7	zǒu	⿱土龰
921	充	151388	3650	6	chōng	⿱亠允
922	洛	151375	3209	9	luò	⿰氵各
923	訓	151355	3282	10	xùn	⿰訁川
924	勿	150687	3977	4	wù	⿹勹⿰丿丿
925	畢	150443	4078	10	bì	⿻甲⿱⿱艹一一
926	薦	150374	3253	16	jiàn	⿱艹廌
927	乘	150312	3452	10	chéng	⿻禾北
928	禹	150068	3272	9	yǔ	⿻䖝冂
929	荆	149928	3252	9	jīng	⿰茾刂
930	覆	149590	4110	18	fù	⿱覀復
931	園	149527	3180	13	yuán	⿴囗袁
932	妙	148068	4318	7	miào	⿰女少
933	柔	148031	3554	9	róu	⿱矛木
934	震	147727	3465	15	zhèn	⿱雨辰
935	維	147643	3446	14	wéi	⿰糹隹
936	奔	147447	3547	8	bēn	⿱大卉
937	撰	147266	3752	15	zhuàn	⿰扌巽
938	危	147056	3784	6	wēi	⿸厃㔾
939	狀	147006	3642	8	zhuàng	⿰爿犬
940	巻	146945	1931	9	juàn	⿱龹己
941	賔	146939	3083	14	bīn	⿱宀𮙸
942	珠	146890	3667	10	zhū	⿰𤣩朱
943	迎	146851	3769	7	yíng	⿺辶卬
944	聚	146678	3947	14	jù	⿱取乑
945	午	146495	3637	4	wǔ	⿱𠂉十
946	候	146294	3710	10	hòu	⿲亻丨⿱{14}矢
947	智	146275	3753	12	zhì	⿱知日
948	雄	146046	3509	12	xióng	⿰厷隹
949	却	145815	3770	7	què	⿰去卩
950	社	145790	3319	7	shè	⿰礻土
951	房	145732	3840	8	fáng	⿸户方
952	男	145649	3818	7	nán	⿱田力
953	衡	145374	3470	16	héng	⿲彳𩵋亍
954	唯	145002	3680	11	wéi	⿰口隹
955	呉	144619	2524	7	wú	⿳⿺𠃑口一八
956	勤	144521	3848	13	qín	⿰堇力
957	仕	144308	3071	5	shì	⿰亻士
958	蘭	144210	3207	20	lán	⿱艹闌
959	閒	144178	2969	12	xián	⿵門月
960	蒼	143700	3488	13	cāng	⿱艹倉
961	鬼	143357	4186	9	guǐ	⿷⿱㇒⿸⿻日丿乚厶
962	科	143219	3429	9	kē	⿰禾斗
963	怒	142897	3542	9	nù	⿱奴心
964	族	142821	3191	11	zú	⿰方⿱𠂉矢
965	雷	142570	3734	13	léi	⿱雨田
966	救	142543	3733	11	jiù	⿰求攵
967	委	142459	3505	8	wěi	⿱禾女
968	吕	142287	3084	6	lǚ	⿱口口
969	愚	142282	3747	13	yú	⿱禺心
970	籍	142026	3664	20	jí	⿱𥫗耤
971	佐	141622	3313	7	zuǒ	⿰亻左
972	漸	141525	3961	14	jiàn	⿰氵斬
973	嗣	141235	3166	13	sì	⿰⿱口𠕁司
974	雍	141171	2851	13	yōng	⿱亠𱁈
975	耶	140505	3374	8	yé	⿰耳阝
976	早	140476	3705	6	zǎo	⿱日十
977	支	140319	3400	4	zhī	⿱十又
978	堅	140176	3925	11	jiān	⿱臤土
979	梅	139844	2837	11	méi	⿰木每
980	强	139284	3709	12	qiáng	⿰弓虽
981	波	139261	3350	8	bō	⿰氵皮
982	誤	139204	3645	14	wù	⿰訁吴
983	會	139197	3234	13	huì	⿱{88}𭥴
984	肅	138641	3390	13	sù	⿻肀𣶒
985	堯	138476	3140	12	yáo	⿱垚兀
986	責	138211	3248	11	zé	⿱龶貝
987	翰	137653	2934	16	hàn	⿰𠦝⿱𠆢羽
988	棄	137438	3796	12	qì	⿳亠厶⿻廿木
989	討	137119	2856	10	tǎo	⿰訁寸
990	圍	136960	3325	12	wéi	⿴囗韋
991	殊	136834	4031	10	shū	⿰歹朱
992	伊	136369	3117	6	yī	⿰亻尹
993	穆	136326	2929	16	mù	⿰禾㣎
994	懼	136254	3374	21	jù	⿰忄瞿
995	乆	136247	3086	3	jiǔ	乆
996	扵	136180	1369	7	yú	⿰扌仒
997	厥	136102	3154	12	jué	⿸厂欮
998	竊	135977	3428	22	qiè	⿱穴⿰釆⿳⺊𠔿⿵冂厶
999	姑	135786	3390	8	gū	⿰女古
1000	墓	135669	2857	13	mù	⿱莫土
1001	銘	135560	2583	14	míng	⿰釒名
1002	庚	135408	3391	8	gēng	⿸广⿻{43}人
1003	邦	135368	3097	6	bāng	⿰丰阝
1004	肉	135232	3618	6	ròu	⿵内人
1005	鼎	135092	3560	12	dǐng	⿶𤕰目
1006	辨	134876	3551	16	biàn	⿲辛⿰丶丿辛
1007	桓	134829	2722	10	huán	⿰木亘
1008	提	134536	3873	12	tí	⿰扌是
1009	丸	134264	2518	3	wán	⿻九丶
1010	兹	134058	3323	9	zī	⿱䒑𢆶
1011	徃	133905	2928	8	wǎng	⿰彳生
1012	夀	133776	3025	14	shòu	⿱⿻⿱𠄟乛𠀐吋
1013	桂	133456	2733	10	guì	⿰木圭
1014	裏	133427	3539	13	lǐ	⿳亠里𧘇
1015	屋	132911	3592	9	wū	⿸尸至
1016	境	132798	3633	14	jìng	⿰土竟
1017	増	132705	2937	14	zēng	⿰土曽
1018	舜	132628	3077	12	shùn	⿳爫冖舛
1019	禄	132498	3238	12	lù	⿰礻录
1020	祥	132415	3682	10	xiáng	⿰礻羊
1021	稽	132288	3784	15	jī	⿰禾⿱尤旨
1022	畏	132126	3660	9	wèi	⿳田一{25}
1023	鍾	131337	3417	17	zhōng	⿰釒重
1024	駕	131265	3580	15	jià	⿱加馬
1025	編	131104	3484	15	biān	⿰糹扁
1026	范	131076	2948	9	fàn	⿱艹氾
1027	襄	130865	2798	17	xiāng	⿱亠𱔞
1028	隱	130649	3709	16	yǐn	⿰阝㥯
1029	雙	130527	3293	18	shuāng	⿱雔又
1030	翻	130511	2896	18	fān	⿰番羽
1031	霜	129715	3415	17	shuāng	⿱雨相
1032	鹽	129410	2650	24	yán	⿱⿰臣⿱𠂉鹵皿
1033	術	129321	3834	11	shù	⿲彳术亍
1034	秀	129282	3404	7	xiù	⿱禾乃
1035	避	128847	3702	16	bì	⿺辶辟
1036	醉	128830	3080	15	zuì	⿰酉卒
1037	丙	128464	3018	5	bǐng	⿱一内
1038	班	128457	3251	10	bān	⿲𤣩⿰丶丿王
1039	僕	128336	3129	14	pú	⿰亻菐
1040	靖	128324	2931	13	jìng	⿰立青
1041	量	128283	3877	12	liàng	⿱旦里
1042	坤	128246	3235	8	kūn	⿰土申
1043	戎	128133	3047	6	róng	⿹戈𠂇
1044	講	127949	3170	17	jiǎng	⿰訁冓
1045	逐	127921	3872	10	zhú	⿺辶豕
1046	曾	127909	3368	12	céng	⿱丷𭥴
1047	註	127810	2389	12	zhù	⿰訁主
1048	悲	127668	3590	12	bēi	⿱非心
1049	均	127537	3472	7	jūn	⿰土匀
1050	墨	127217	3365	15	mò	⿱黑土
1051	尹	126012	3098	4	yǐn	⿻{43}丿
1052	芳	125989	2964	7	fāng	⿱艹方
1053	慮	125791	3656	15	lǜ	⿸虍思
1054	盟	125774	2770	13	méng	⿱明皿
1055	况	125709	3373	7	kuàng	⿰冫兄
1056	誅	125685	3075	13	zhū	⿰訁朱
1057	賈	125103	3182	13	jiǎ	⿱覀貝
1058	廬	124701	3192	19	lú	⿸广盧
1059	假	124326	3928	11	jiǎ	⿰亻叚
1060	殷	124234	3085	10	yīn	⿰㐆殳
1061	隠	124108	2826	13	yǐn	⿰阝𢚩
1062	采	124068	3209	8	cǎi	⿱爫木
1063	荒	123995	3453	9	huāng	⿱艹巟
1064	赴	123384	3183	9	fù	⿺走卜
1065	專	123136	3674	11	zhuān	⿱{7}寸
1066	禍	122814	3718	12	huò	⿰礻咼
1067	獄	122809	3127	14	yù	⿲犭言犬
1068	弱	122611	3589	10	ruò	⿰⿹弓冫⿹弓冫
1069	懷	122606	3296	19	huái	⿰忄褱
1070	錫	122286	3786	16	xī	⿰釒易
1071	熟	122249	3688	15	shú	⿱孰灬
1072	否	122128	3648	7	fǒu	⿱不口
1073	葬	121956	2570	12	zàng	⿳艹死廾
1074	吹	121431	3213	7	chuī	⿰口欠
1075	絲	121370	3315	12	sī	⿰糹糸
1076	財	121291	3309	10	cái	⿰貝才
1077	格	121083	3493	10	gé	⿰木各
1078	消	120923	4084	10	xiāo	⿰氵肖
1079	貧	120916	3445	11	pín	⿱分貝
1080	稍	120744	3356	12	shāo	⿰禾肖
1081	凶	120631	3298	4	xiōng	⿶凵㐅
1082	牧	120588	3134	8	mù	⿰牜攵
