# Sumerogram + determinative frequency in OB Akkadian — CDLI, Old Babylonian slice
# Generated by bin/akk_seq.rb on 2026-08-05 · 1.4.0
# OB slice: nabu lect list (akk:ob rulings, 30157 CDLI documents) ∩ nabu export --lang=akk --source=cdli
# Passages: 204820 · raw ATF spellings, never folded (sz/s,/t,); a separate base — never mixed with sux ranks (§9).
# Sumerograms upcased for display ({d} rows are determinatives); ATF dots kept (KU3.BABBAR).
rank	form	count
258	SZE-NUMUN	80
259	DAGAL-LA	79
260	SZA3-TAM	79
261	KALAM	78
262	SAMAG	78
263	{GI}PISAN	78
264	LUGAL-MESZ	77
265	{GESZ}BA-RI2-GA	77
266	DAM-A-NI	76
267	GU4-HI-A	76
268	KUN8	76
269	MU-NI-IM	76
270	NIG2-GUR11	76
271	SA2-DU11	76
272	SZESZ	76
273	U8-UDU-HI-A	76
274	UGNIM	76
275	{D}EN-LIL2-LA2	76
276	{GESZ}APIN	76
277	MU-UN-DU3-A	74
278	NAR	74
279	SISKUR2-RE	74
280	SUHUSZ	74
281	KI-SZUB-BA	73
282	NINDA-KUM	73
283	SIMUG	73
284	{GESZ}MAR-GID2-DA	73
285	BA-ZI	72
286	SZA13-DUB-BA	72
287	US2-SA-DU	72
288	TUR	71
289	A	70
290	AB-E3-A	70
291	DAM-GAR3-MESZ	70
292	{GESZ}IG	70
293	TAB-BA	68
294	{GESZ}BANESZ	68
295	{GESZ}BANSZUR	68
296	EGIR-BI	67
297	SAHAR	67
298	UDU-GAL	67
299	NU-ESZ3	66
300	BA-DU3	65
301	IN-PA3-MESZ	65
302	KI-KAL	65
303	SILA3-AM3	65
304	U2-SAL	65
305	GUDU4-ABZU	64
306	NAGAR	64
307	SI-SA2	64
308	SZA3-TAM-MESZ	64
309	BA-DIM2	63
310	GESZTIN	63
311	LU2-TUR	63
312	UDU-HI-A	63
313	DIRI	62
314	SZA	62
315	ZI	62
316	DUMU-MUNUS-A-NI	61
317	E-SIR2	61
318	KISZ	61
319	SI-BI	61
320	SZU-SI	61
321	GUB3	60
322	KUR6	60
323	NIG2-KA9	59
324	DU	58
325	GI-NA	58
326	SZANDANA	58
327	SZUD3-DE3	58
328	{GESZ}APIN-DU8-A	58
329	GA2-GI4-A	57
330	MA2-LAH5	57
331	PA5	57
332	SIG4	57
333	I3-AG2-E-MESZ	56
334	KU6	56
335	TUKUM-BI	56
336	USZ2	56
337	A2-AG2-GA2	55
338	AMA-A-NI	55
339	GIR2	55
340	AN-ZA-GAR3	54
341	BAR-SI	54
342	DIDLI	54
343	A2-BI	53
344	BA-AN	53
345	DAGAL	53
346	DUH	53
347	I7-DA	53
348	NU-MU-UN-GI4-GI4-DAM	53
349	SZE-GA	53
350	SZU-DU8-A	53
351	AN-NA	52
352	NIG2-AR3-RA	52
353	UD5	52
354	AMAR	51
355	BURU14	51
356	{NA4}UR5	51
357	A-RA2	50
358	A2-DAM-BI	50
359	ENGAR	50
360	I3-SI-IN{KI}	50
