# Sumerian transliteration-value frequency — ETCSL (literary Sumerian)
# Generated by bin/sign_seq.rb on 2026-07-29 · 1.3.0
# Command: nabu export --format=plain --lang=sux --source=etcsl
# Passages: 36501 · distinct values: 1697 · top 500 kept
# Values are corpus-convention spellings (c=š, j=ŋ); never merged across corpora.
rank	value	count
401	gur11	77
402	he	77
403	pec	76
404	suhur	76
405	ezen	73
406	gada	73
407	hal	73
408	suh	73
409	gag	71
410	guru7	71
411	jic3	71
412	nidba	71
413	tej3	71
414	ezina2	70
415	jiri2	70
416	it	69
417	nitalam	69
418	unken	69
419	usu	69
420	ca3	68
421	cuba	68
422	el	68
423	gal5	68
424	kisal	68
425	nunuz	68
426	par4	68
427	jickim	67
428	sag2	67
429	tu5	67
430	ambar	66
431	ug	66
432	ud5	65
433	du14	64
434	geme2	64
435	ka5	64
436	alan	63
437	bancur	63
438	rin	63
439	sug	63
440	nitah	62
441	dalla	61
442	kun	61
443	mur	61
444	pad	61
445	wa	61
446	ba9	60
447	mir	60
448	ninnu	60
449	cej3	59
450	lim	59
451	sa10	59
452	urim5	59
453	gibil	58
454	idigna	58
455	ka3	58
456	lagac	58
457	nergal	58
458	sila4	58
459	ac2	57
460	bar7	57
461	gud3	57
462	ge4	56
463	numun2	56
464	pi	56
465	unu2	56
466	buru14	55
467	cubur	55
468	din	55
469	isin2	55
470	jissu	55
471	pa5	55
472	apin	54
473	arad	54
474	dur	54
475	be	53
476	ga14	53
477	gal4	53
478	ickur	53
479	iti6	52
480	jarza	52
481	sun5	52
482	uri	52
483	ah	51
484	rib	51
485	ur11	51
486	zar	51
487	buluj3	50
488	ceg11	50
489	du10	50
490	er9	50
491	ge5	50
492	pi2	50
493	gug	49
494	tar2	49
495	ul4	49
496	umbin	49
497	anzud	48
498	balaj	48
499	dim3	48
500	gi16	48
