X1	64245
N35	51592
D21	36379
M17	35122
Z1	34078
G17	23945
Z7	23247
Z2	21261
I9	21050
S29	17920
D36	15578
G1	14260
Y1	12416
A1	9830
G7	9726
V28	9473
Q3	9207
G43	8975
D46	8716
N5	8335
D2	7371
V31	7324
Z4	6967
W24	6963
D58	6820
O34	6578
V30	6388
D54	6372
O1	6171
V31A	5688
D4	5439
A2	5278
I10	4802
R8	4544
M23	4404
Z3A	4226
N33	3912
A24	3820
N37	3483
N29	3321
S34	3088
F35	3045
O49	2752
G41	2554
G37	2502
Y5	2462
D35	2424
F51	2346
N23	2305
O4	2291
Q1	2280
N35A	2189
B1	2172
O29	2169
N17	2103
G36	2061
E34	2026
Z3	1981
R4	1943
G39	1929
D37	1887
F34	1821
U1	1760
Z9	1755
M12	1679
W19	1665
Z6	1639
W11	1598
D40	1589
D28	1569
H8	1560
Z5	1551
N16	1507
M2	1497
D1	1491
U28	1476
Z4A	1420
Z5A	1415
W22	1383
N25	1369
L1	1353
V13	1350
X8	1320
U36	1318
U33	1298
V20	1282
M3	1249
F31	1217
Q7	1201
U7	1162
T28	1151
N31	1150
N1	1135
A40	1108
H6	1101
T21	1083
F32	1050
P6	1017
T14	999
N27	989
G40	980
F4	972
Z11	958
O50	939
V4	925
N36	924
L2	914
W10	900
P8	898
M22	877
M18	860
G5	856
U6	844
T3	819
D56	817
N26	815
F18	808
F39	786
V6	781
G29	763
N14	745
Y3	742
U23	737
N21	714
D52	688
R14	686
S43	682
N33A	678
T22	662
F21	662
D12	655
M36	651
N41	647
V22	646
F20	645
W25	638
M4	625
D50	618
D19	617
A17	615
Y2	613
E1	590
O39	568
X2	567
M16	560
M8	556
O6	553
M29	553
D53	553
T30	548
G25	548
D41	538
P1	534
F13	519
W14	514
G4	514
U2	511
U30	501
S42	498
N42	494
W3	489
N28	488
X4	486
A19	480
V12	479
F22	467
W17	463
D26	456
G47	455
D6	453
F27	453
M1A	438
G28	419
R11	416
E9	410
U15	403
N40	403
U32	393
R8A	388
A15	387
R15	386
D16	386
K1	385
V1	385
G14	378
D51	377
X6	376
D60	375
N8	373
A30	366
S38	357
S12	357
A53	357
V7	355
A26	353
F26	352
F51B	352
V14	352
F46	332
V25	330
U13	330
D3	326
N18	318
V29	316
M1	309
M13	309
O42	305
G38	304
A51	302
F30	299
P5	293
A28	288
I12	287
T12	280
D45	276
O28	276
O22	274
S28	272
S24	271
E23	269
H1	269
G54	266
W9	265
M6	264
B7C	264
U5	261
N11	260
F40	257
W18	257
